[2024-09-01T08:31:37.583+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-09-01T08:31:37.600+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nyc_airbnb_etl.log_results manual__2024-09-01T08:31:11+00:00 [queued]>
[2024-09-01T08:31:37.609+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nyc_airbnb_etl.log_results manual__2024-09-01T08:31:11+00:00 [queued]>
[2024-09-01T08:31:37.609+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 1
[2024-09-01T08:31:37.622+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): log_results> on 2024-09-01 08:31:11+00:00
[2024-09-01T08:31:37.632+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=105) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-09-01T08:31:37.894+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_namespace', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.895+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_conversion', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.896+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_depend', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.897+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_database', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.898+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_db_role_setting', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.899+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_tablespace', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.901+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_auth_members', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.902+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_shdepend', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.903+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_shdescription', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.904+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_ts_config', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.905+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_ts_config_map', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.906+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_ts_dict', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.907+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_ts_parser', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.908+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_ts_template', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.909+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_extension', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.910+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_foreign_data_wrapper', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.911+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_foreign_server', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.912+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_policy', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.913+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_replication_origin', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.914+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_default_acl', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.916+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_init_privs', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.917+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_seclabel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.918+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_shseclabel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.919+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_collation', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.920+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_partitioned_table', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
